Date,Version,NumberOfStudents,Better_roll,Worse_roll,Pon.task,Ticks,End_knowledge,Baseline.attention,ID,Knowledge_percent
2021-05-19,125238-7.csv,5,0.9,1.1,0.013545906802686322,5745,4594.5,0.7927635359116025,67,0.7997389033942559
2021-05-19,125238-7.csv,5,0.9,1.1,0.01456919363805045,5745,5216,0.919795936120688,70,0.9079199303742385
2021-05-19,125238-7.csv,5,0.9,1.1,0.015596609191779442,5745,2684,0.463837825553977,69,0.4671888598781549
2021-05-19,125238-7.csv,5,0.9,1.1,0.010329305204163013,5745,4667,0.819102851069774,68,0.8123585726718886
2021-05-19,125238-7.csv,5,0.9,1.1,0.014586104074349602,5745,5397.5,0.9136941268433535,66,0.9395126196692777
2021-05-19,125238-8.csv,5,0.9,1.1,0.012361841022490517,5745,4605,0.8103724381671503,75,0.8015665796344648
2021-05-19,125238-8.csv,5,0.9,1.1,0.011073532558198606,5745,4727,0.8423290632669352,71,0.8228024369016537
2021-05-19,125238-8.csv,5,0.9,1.1,0.010125932149311546,5745,4300.5,0.7444761763710614,72,0.7485639686684074
2021-05-19,125238-8.csv,5,0.9,1.1,0.011560938842365271,5745,4254,0.7281425341991052,74,0.7404699738903394
2021-05-19,125238-8.csv,5,0.9,1.1,0.011774076858374016,5745,3964.5,0.6759845547942924,73,0.6900783289817233
2021-05-19,125238-9.csv,5,0.9,1.1,0.009993349802359539,5745,4292,0.7312453794564205,78,0.7470844212358573
2021-05-19,125238-9.csv,5,0.9,1.1,0.012474983825156513,5745,4822.5,0.8341014069373952,80,0.839425587467363
2021-05-19,125238-9.csv,5,0.9,1.1,0.010910541904954513,5745,4346,0.7630772763894162,76,0.7564838990426458
2021-05-19,125238-9.csv,5,0.9,1.1,0.012409568527705644,5745,5343,0.940999813279778,79,0.9300261096605744
2021-05-19,125238-9.csv,5,0.9,1.1,0.008951497802759082,5745,4992,0.8569042308330409,77,0.8689295039164491
2021-05-19,125239-12.csv,10,0.9,1.1,0.03347227005018959,5745,3187,0.5665542853477243,90,0.5547432550043516
2021-05-19,125239-12.csv,10,0.9,1.1,0.019341885405613077,5745,5412,0.9287806086772397,81,0.9420365535248042
2021-05-19,125239-12.csv,10,0.9,1.1,0.01218102020028416,5745,4706,0.8014650552488728,84,0.8191470844212358
2021-05-19,125239-12.csv,10,0.9,1.1,0.029207794962597323,5745,5451.5,0.949435957265234,82,0.9489120974760662
2021-05-19,125239-12.csv,10,0.9,1.1,0.03466407244819118,5745,4384.5,0.7537075019122894,88,0.7631853785900783
2021-05-19,125239-12.csv,10,0.9,1.1,0.025749875254300877,5745,5369.5,0.9250316325056142,85,0.9346388163620539
2021-05-19,125239-12.csv,10,0.9,1.1,0.01602773356723878,5745,4370.5,0.7544731334696777,87,0.7607484769364665
2021-05-19,125239-12.csv,10,0.9,1.1,0.024502407622737435,5745,3967.5,0.6798689604757917,89,0.6906005221932114
2021-05-19,125239-12.csv,10,0.9,1.1,0.032879531117847645,5745,3294.5,0.5837908564968944,86,0.5734551784160139
2021-05-19,125239-12.csv,10,0.9,1.1,0.0268759836819955,5745,4738,0.815475306430486,83,0.8247171453437772
2021-05-19,125239-13.csv,10,0.9,1.1,0.01581446435238717,5745,5459.5,0.9428064222252187,99,0.9503046127067015
2021-05-19,125239-13.csv,10,0.9,1.1,0.0382565079391183,5745,3846,0.6693830962803292,93,0.6694516971279373
2021-05-19,125239-13.csv,10,0.9,1.1,0.025742369960843517,5745,5454.5,0.9447775674552881,96,0.9494342906875544
2021-05-19,125239-13.csv,10,0.9,1.1,0.026589013526133333,5745,3675,0.654354045511824,94,0.639686684073107
2021-05-19,125239-13.csv,10,0.9,1.1,0.027475744412271408,5745,4604,0.7885976461566105,92,0.8013925152306354
2021-05-19,125239-13.csv,10,0.9,1.1,0.03104646680138377,5745,4337.5,0.7428133308891659,95,0.7550043516100957
2021-05-19,125239-13.csv,10,0.9,1.1,0.01934142319562262,5745,4487.5,0.7822420358707849,98,0.7811140121845083
2021-05-19,125239-13.csv,10,0.9,1.1,0.021583706383488305,5745,3911,0.6928059738251654,91,0.6807658833768494
2021-05-19,125239-13.csv,10,0.9,1.1,0.02238877269890945,5745,5323,0.9319170817960939,100,0.9265448215839861
2021-05-19,125239-13.csv,10,0.9,1.1,0.02321214069067292,5745,4080.5,0.7136363621962221,97,0.7102697998259356
2021-05-19,125239-15.csv,10,0.9,1.1,0.03213114853336777,5745,5027,0.8768196580417245,106,0.8750217580504787
2021-05-19,125239-15.csv,10,0.9,1.1,0.025503890606971027,5745,3598.5,0.6291699189519411,102,0.6263707571801567
2021-05-19,125239-15.csv,10,0.9,1.1,0.03474275357955421,5745,3798,0.6584599594383443,110,0.6610966057441253
2021-05-19,125239-15.csv,10,0.9,1.1,0.020758407349711863,5745,4927,0.8528613973017867,105,0.857615317667537
2021-05-19,125239-15.csv,10,0.9,1.1,0.03927804511083065,5745,4213,0.7312688994025803,107,0.7333333333333333
2021-05-19,125239-15.csv,10,0.9,1.1,0.022479191192525446,5745,4295,0.7369555146022545,103,0.7476066144473456
2021-05-19,125239-15.csv,10,0.9,1.1,0.026947483410694764,5745,4610.5,0.8077414930064436,108,0.8025239338555266
2021-05-19,125239-15.csv,10,0.9,1.1,0.031254171980603984,5745,4780,0.828653106676659,109,0.8320278503046127
2021-05-19,125239-15.csv,10,0.9,1.1,0.019444816054610122,5745,4990,0.8667652632386419,104,0.8685813751087903
2021-05-19,125239-15.csv,10,0.9,1.1,0.015194990881336986,5745,4075.5,0.7117753436888485,101,0.7093994778067885
2021-05-19,125239-17.csv,10,0.9,1.1,0.03421648864812929,5745,4130.5,0.7137588076202295,115,0.7189730200174065
2021-05-19,125239-17.csv,10,0.9,1.1,0.015432432670678401,5745,3899.5,0.672744080679529,113,0.6787641427328112
2021-05-19,125239-17.csv,10,0.9,1.1,0.025850134342141725,5745,5265,0.9107097267859118,119,0.9164490861618799
2021-05-19,125239-17.csv,10,0.9,1.1,0.029173125778531983,5745,4792,0.8400997029968291,117,0.8341166231505657
2021-05-19,125239-17.csv,10,0.9,1.1,0.02388699186840817,5745,5243,0.8935804431601606,111,0.9126196692776327
2021-05-19,125239-17.csv,10,0.9,1.1,0.035570548784726916,5745,4352.5,0.7495627513393456,116,0.757615317667537
2021-05-19,125239-17.csv,10,0.9,1.1,0.02597538739926834,5745,4775,0.8286071696060672,112,0.8311575282854656
2021-05-19,125239-17.csv,10,0.9,1.1,0.016879075797104057,5745,4781.5,0.8272334458363161,118,0.8322889469103568
2021-05-19,125239-17.csv,10,0.9,1.1,0.018074293355956682,5745,5316.5,0.9136085135433936,114,0.9254134029590949
2021-05-19,125239-17.csv,10,0.9,1.1,0.020436802148835243,5745,4556.5,0.7831376298288845,120,0.793124456048738
2021-05-19,125239-18.csv,10,0.9,1.1,0.026348922040474013,5745,4382,0.7736373182727602,121,0.7627502175805048
2021-05-19,125239-18.csv,10,0.9,1.1,0.024745477703185696,5745,4997,0.8588638431454816,129,0.8697998259355961
2021-05-19,125239-18.csv,10,0.9,1.1,0.021974916405722453,5745,5505,0.9489794291849653,125,0.95822454308094
